ALLSKY_KT,WS2M,T2M,PS,WS10M,QV2M,RH2M
0.17932325,-0.4631115,1.48168132,-0.191191,-0.61617235,-1.52715864,-17.4263813
-0.00067675,1.3968885,2.18168132,-0.151191,1.79382765,0.37284136,-8.11638129
-0.07067675,2.3768885,1.84168132,-0.111191,3.06382765,0.55284136,-4.48638129
-0.06067675,1.1768885,2.42168132,0.048809,1.38382765,1.40284136,0.26361871
-0.03067675,-0.8031115,2.75168132,0.468809,-1.12617235,1.89284136,2.64361871
0.04932325,0.2568885,3.11168132,0.438809,0.24382765,2.26284136,4.32361871
0.03932325,1.3868885,2.31168132,0.118809,1.52382765,2.20284136,7.76361871
0.07932325,0.6268885,3.15168132,0.318809,0.60382765,1.53284136,-0.73638129
0.11932325,-0.3431115,1.68168132,0.678809,-0.54617235,0.73284136,-1.79638129
0.17932325,-0.0631115,1.57168132,0.908809,-0.14617235,-0.11715864,-7.17638129
0.18932325,0.3568885,2.18168132,0.638809,0.46382765,-0.91715864,-15.5463813
-0.00067675,0.5868885,2.85168132,0.568809,0.76382765,0.98284136,-5.29638129
0.02932325,-0.2731115,4.22168132,0.628809,-0.34617235,1.40284136,-7.23638129
-0.00067675,1.1068885,2.88168132,0.688809,1.24382765,1.46284136,-0.35638129
0.04932325,-3.0531115,5.10168132,0.798809,-3.89617235,2.26284136,-1.92638129
0.02932325,-1.6831115,5.74168132,0.258809,-2.13617235,2.32284136,-5.04638129
0.02932325,-2.6731115,5.39168132,0.298809,-3.38617235,2.87284136,1.76361871
-0.00067675,-1.1831115,4.05168132,0.358809,-1.51617235,2.69284136,4.95361871
-0.03067675,-2.0031115,3.80168132,0.488809,-2.54617235,2.38284136,4.57361871
0.00932325,-0.6231115,4.64168132,0.078809,-0.95617235,2.32284136,-0.85638129
-0.07067675,0.8068885,5.77168132,-0.351191,0.83382765,2.50284136,-3.73638129
0.00932325,-0.3231115,5.38168132,-0.581191,-0.50617235,2.38284136,-2.92638129
-0.07067675,-0.9231115,5.15168132,-0.751191,-1.21617235,2.01284136,-5.61638129
-0.07067675,-1.2231115,5.35168132,-0.651191,-1.57617235,2.38284136,-3.04638129
-0.04067675,-0.4931115,5.37168132,-0.511191,-0.72617235,2.81284136,1.14361871
0.07932325,0.1668885,5.12168132,-0.471191,0.05382765,2.81284136,1.76361871
-0.03067675,0.3168885,4.66168132,-0.441191,0.24382765,2.14284136,-2.11638129
-0.06067675,-0.9831115,5.79168132,-0.561191,-1.29617235,1.77284136,-10.2363813
-0.00067675,-0.2331115,5.08168132,-0.371191,-0.40617235,0.37284136,-20.8563813
0.03932325,1.3568885,4.63168132,0.068809,1.47382765,0.00284136,-20.6763813
-0.00067675,0.0468885,-0.78831868,0.178809,-0.06617235,2.56284136,17.3236187
0.03932325,0.5368885,-1.20831868,0.498809,0.71382765,2.81284136,21.2036187
0.12932325,0.4668885,1.22168132,0.578809,0.58382765,1.95284136,9.57361871
0.02932325,0.7368885,0.29168132,0.138809,0.88382765,-0.97715864,-7.85638129
