ALLSKY_KT,WS2M,T2M,PS,WS10M,QV2M,RH2M
-0.02067675,-0.9431115,6.47168132,0.048809,-1.27617235,1.83284136,-13.2363813
0.12932325,-0.2831115,7.14168132,0.048809,-0.41617235,2.38284136,-10.1763813
0.14932325,0.2368885,7.50168132,0.048809,0.23382765,3.05284136,-5.17638129
0.07932325,0.0168885,8.24168132,-0.051191,-0.18617235,3.23284136,-5.79638129
0.10932325,1.5268885,6.49168132,-0.291191,1.92382765,2.08284136,-10.3563813
0.17932325,-0.2331115,5.86168132,-0.731191,-0.28617235,0.73284136,-21.0463813
0.11932325,0.6768885,5.71168132,-1.071191,0.65382765,0.79284136,-20.2963813
-0.02067675,1.1268885,6.90168132,-1.231191,1.26382765,1.16284136,-22.6763813
0.17932325,0.8268885,7.22168132,-1.291191,0.89382765,1.77284136,-18.2363813
-0.03067675,1.7968885,7.26168132,-1.051191,2.27382765,3.30284136,-1.98638129
-0.00067675,1.6868885,7.49168132,-0.991191,1.98382765,2.93284136,-6.98638129
-0.00067675,-0.5531115,7.86168132,-0.871191,-0.79617235,3.17284136,-5.29638129
0.06932325,-1.7931115,9.02168132,-0.541191,-2.31617235,3.54284136,-5.35638129
-0.02067675,0.2468885,9.72168132,-0.601191,0.14382765,3.91284136,-4.54638129
-0.02067675,1.1668885,9.54168132,-0.741191,1.24382765,4.03284136,-2.29638129
-0.00067675,1.6968885,7.72168132,-0.581191,2.09382765,3.42284136,-1.61638129
0.22932325,0.5168885,8.96168132,-0.401191,0.47382765,3.23284136,-8.35638129
0.16932325,1.4168885,6.79168132,-0.481191,1.57382765,2.99284136,-2.11638129
-0.00067675,0.0268885,6.53168132,-0.471191,-0.04617235,1.22284136,-19.1163813
-0.00067675,-0.8931115,8.66168132,-0.581191,-1.20617235,3.17284136,-8.04638129
0.20932325,-1.3931115,8.44168132,-0.241191,-1.82617235,2.62284136,-14.1163813
0.10932325,-1.2931115,7.08168132,0.018809,-1.71617235,1.71284136,-17.6163813
0.24932325,0.7368885,7.50168132,0.148809,0.89382765,1.59284136,-19.4263813
0.14932325,-1.4431115,8.31168132,0.028809,-1.86617235,2.62284136,-11.9263813
0.05932325,-1.3331115,10.2916813,0.028809,-1.76617235,3.60284136,-10.0463813
-0.03067675,0.9368885,9.65168132,-0.031191,1.04382765,3.36284136,-10.2363813
-0.03067675,0.6268885,9.94168132,-0.041191,0.59382765,3.42284136,-10.8563813
0.44932325,0.1868885,11.5616813,0.438809,0.23382765,3.48284136,-17.3563813
0.30932325,-3.6631115,9.86168132,0.918809,-4.68617235,3.11284136,-13.6163813
0.22932325,-2.0031115,9.46168132,0.998809,-2.61617235,2.44284136,-19.7963813
0.20932325,-0.5531115,9.15168132,0.578809,-0.74617235,2.01284136,-23.3563813
0.01932325,1.1068885,6.07168132,-1.001191,1.20382765,3.72284136,6.70361871
0.01932325,1.8968885,5.09168132,-1.301191,2.24382765,2.32284136,-2.79638129
0.07932325,1.4468885,3.84168132,-1.331191,1.68382765,1.04284136,-9.73638129
0.14932325,1.1268885,4.78168132,-1.331191,1.22382765,1.46284136,-9.79638129
0.08932325,0.9268885,4.75168132,-0.981191,0.91382765,1.59284136,-9.23638129
-0.00067675,1.3468885,5.83168132,-0.341191,1.56382765,3.11284136,1.38361871
0.17932325,-0.3031115,5.68168132,-0.201191,-0.42617235,1.46284136,-12.2963813
0.00932325,0.9468885,6.22168132,-0.081191,1.28382765,1.65284136,-14.3563813
0.10932325,1.7368885,5.63168132,0.228809,2.06382765,2.32284136,-4.35638129
0.11932325,0.5368885,5.18168132,0.318809,0.43382765,0.85284136,-15.7363813
0.19932325,-0.0431115,7.06168132,-0.021191,-0.24617235,1.53284136,-18.1763813
-0.02067675,0.2568885,7.87168132,-0.331191,0.27382765,3.17284136,-5.85638129
0.15932325,0.3568885,8.46168132,-0.391191,0.22382765,3.11284136,-8.61638129
0.42932325,-2.5331115,9.14168132,-0.431191,-3.19617235,2.38284136,-18.7963813
0.20932325,-2.9631115,6.78168132,-0.601191,-3.72617235,1.71284136,-16.0463813
0.38932325,-3.6231115,6.75168132,-0.511191,-4.64617235,2.08284136,-12.1163813
-0.07067675,0.1968885,8.04168132,-0.801191,0.13382765,2.56284136,-13.9263813
-0.03067675,-1.9431115,8.84168132,-0.651191,-2.50617235,3.60284136,-5.54638129
-0.00067675,-2.5731115,9.39168132,-0.411191,-3.25617235,4.64284136,5.88361871
-0.03067675,0.0768885,8.57168132,-0.581191,-0.03617235,2.87284136,-12.1163813
-0.00067675,0.7768885,8.81168132,-1.061191,0.90382765,2.75284136,-15.3563813
