ALLSKY_KT,WS2M,T2M,PS,WS10M,QV2M,RH2M
0.06932325,-0.3731115,-5.74831868,0.168809,-0.21617235,-2.31715864,5.07361871
0.02932325,0.8268885,-6.40831868,0.208809,1.13382765,-1.64715864,8.76361871
0.01932325,-0.1331115,-6.94831868,0.028809,0.06382765,-2.68715864,7.70361871
0.03932325,-0.9631115,-6.58831868,-0.081191,-0.97617235,-4.87715864,-2.98638129
0.07932325,0.0368885,-6.36831868,0.008809,0.24382765,-5.06715864,-5.29638129
0.00932325,-0.0031115,-7.42831868,0.118809,0.15382765,-5.54715864,-4.61638129
0.03932325,-0.0131115,-7.19831868,0.158809,0.10382765,-6.15715864,-7.79638129
0.05932325,-0.4231115,-6.99831868,-0.031191,-0.40617235,-6.28715864,-9.04638129
0.06932325,0.1968885,-7.21831868,-0.431191,0.28382765,-5.06715864,-3.92638129
0.06932325,1.5968885,-8.17831868,-0.591191,1.91382765,-3.47715864,5.20361871
0.05932325,0.6268885,-8.73831868,-0.181191,0.87382765,-2.86715864,12.2036187
0.06932325,-2.0131115,-5.34831868,-0.161191,-2.32617235,-2.31715864,4.20361871
0.01932325,0.7368885,-4.47831868,-0.481191,1.03382765,-0.11715864,11.0736187
0.07932325,-0.4331115,-5.45831868,-0.231191,-0.47617235,0.24284136,15.5736187
0.02932325,0.6268885,-6.63831868,0.208809,0.85382765,0.12284136,18.7636187
0.06932325,-0.4831115,-4.96831868,0.288809,-0.42617235,-4.20715864,-6.11638129
0.29932325,-0.6431115,-4.10831868,0.158809,-0.64617235,-4.87715864,-12.7963813
0.36932325,-3.1131115,-4.19831868,0.028809,-3.75617235,-4.45715864,-10.2363813
0.31932325,-2.2631115,-4.87831868,0.268809,-2.71617235,-5.67715864,-13.6163813
0.07932325,-0.4431115,-6.73831868,0.428809,-0.57617235,-3.84715864,1.20361871
0.06932325,0.1068885,-8.02831868,0.078809,0.31382765,-4.99715864,-0.85638129
0.05932325,0.5068885,-8.65831868,0.228809,0.75382765,-5.18715864,-0.42638129
0.06932325,0.4168885,-8.53831868,0.338809,0.70382765,-6.58715864,-4.17638129
0.09932325,0.1668885,-8.08831868,0.198809,0.46382765,-6.03715864,-3.35638129
0.05932325,0.2968885,-7.30831868,0.088809,0.57382765,-6.15715864,-6.35638129
-0.02067675,0.9968885,-7.72831868,-0.051191,1.37382765,-6.22715864,-4.92638129
-0.00067675,-1.1331115,-7.54831868,-0.181191,-1.24617235,-3.10715864,6.57361871
-0.04067675,-1.8731115,-5.49831868,-0.281191,-2.10617235,-4.08715864,-3.85638129
-0.04067675,1.5268885,-6.50831868,-0.291191,2.09382765,-3.84715864,0.14361871
-0.08067675,1.6168885,-7.30831868,-0.171191,2.05382765,-1.82715864,9.51361871
0.04932325,1.1068885,-8.56831868,-0.211191,1.38382765,-1.70715864,13.9536187
0.06932325,1.7968885,-8.95831868,-0.301191,2.29382765,-1.58715864,15.0736187
0.06932325,0.0068885,-7.52831868,-0.441191,0.19382765,-5.73715864,-4.11638129
0.07932325,-0.5231115,-6.24831868,-0.481191,-0.40617235,-5.06715864,-5.79638129
-0.03067675,0.6168885,-6.13831868,-0.391191,0.82382765,-4.45715864,-4.04638129
0.01932325,0.4468885,-6.02831868,-0.331191,0.64382765,-3.59715864,-1.42638129
-0.02067675,0.6568885,-6.42831868,-0.441191,0.86382765,-3.53715864,0.26361871
0.01932325,-0.3331115,-6.25831868,-0.451191,-0.43617235,-6.03715864,-10.7363813
0.01932325,1.1568885,-5.59831868,-0.441191,1.40382765,-5.97715864,-13.1163813
0.03932325,1.6268885,-6.88831868,-0.341191,1.95382765,-2.49715864,6.20361871
0.07932325,1.5168885,-7.66831868,-0.251191,1.87382765,-1.64715864,13.0136187
0.03932325,1.0768885,-7.55831868,-0.301191,1.37382765,-2.19715864,10.5736187
0.06932325,0.8768885,-6.90831868,-0.251191,1.14382765,-4.38715864,-1.92638129
0.06932325,0.7568885,-7.52831868,0.148809,0.80382765,-0.23715864,18.0136187
0.07932325,-0.1231115,-8.96831868,0.358809,-0.32617235,1.28284136,28.8836187
0.06932325,0.4268885,-9.32831868,0.338809,0.31382765,2.44284136,34.2036187
0.01932325,1.3868885,-9.10831868,0.318809,1.58382765,2.01284136,30.8236187
