ALLSKY_KT,WS2M,T2M,PS,WS10M,QV2M,RH2M
0.03932325,-1.0931115,0.57168132,0.968809,-1.71617235,2.81284136,12.8836187
-0.03067675,1.6768885,1.94168132,0.868809,2.09382765,2.01284136,5.20361871
-0.00067675,1.0568885,1.12168132,0.718809,1.20382765,1.83284136,7.20361871
0.00932325,1.1068885,2.48168132,0.538809,1.43382765,-0.42715864,-14.6763813
0.03932325,0.3668885,3.87168132,0.628809,0.46382765,0.18284136,-15.2963813
-0.07067675,1.5068885,3.28168132,0.168809,1.86382765,1.89284136,0.20361871
-0.06067675,1.7668885,3.61168132,0.028809,2.26382765,2.75284136,5.38361871
-0.03067675,1.2868885,4.47168132,-0.001191,1.59382765,2.26284136,-1.48638129
-0.00067675,0.1068885,4.53168132,0.018809,0.14382765,2.81284136,3.01361871
-0.00067675,0.3768885,4.11168132,0.318809,0.49382765,1.77284136,-3.98638129
0.02932325,0.0368885,2.38168132,0.768809,-0.00617235,0.18284136,-10.1763813
-0.01067675,0.2268885,2.47168132,0.358809,0.29382765,0.37284136,-8.42638129
0.00932325,0.3468885,3.40168132,0.228809,0.46382765,1.04284136,-7.79638129
-0.00067675,-0.8731115,4.07168132,0.058809,-1.11617235,1.46284136,-6.92638129
0.05932325,-2.3331115,3.50168132,0.658809,-2.96617235,0.98284136,-7.61638129
-0.00067675,-1.8031115,1.79168132,0.918809,-2.36617235,0.49284136,-5.67638129
0.03932325,-0.3031115,2.45168132,0.168809,-0.42617235,2.50284136,8.45361871
-0.01067675,-0.3931115,3.25168132,-0.181191,-0.43617235,3.23284136,12.0136187
-0.00067675,0.7968885,3.64168132,-0.431191,1.02382765,2.44284136,2.26361871
-0.06067675,0.8268885,3.97168132,-0.481191,1.07382765,2.14284136,-0.85638129
-0.08067675,0.0468885,4.50168132,-0.431191,0.09382765,2.44284136,-0.17638129
-0.02067675,0.9868885,3.97168132,-0.341191,1.23382765,2.56284136,0.82361871
-0.01067675,0.3068885,3.43168132,-0.301191,0.44382765,1.65284136,-4.04638129
0.00932325,0.6068885,2.61168132,-0.091191,0.74382765,1.59284136,-3.11638129
0.02932325,0.7068885,1.39168132,0.288809,0.88382765,0.55284136,-6.29638129
-0.02067675,-1.4731115,3.60168132,0.068809,-1.76617235,0.31284136,-14.1763813
-0.01067675,-0.1131115,2.48168132,0.088809,-0.01617235,1.10284136,-3.61638129
-0.05067675,1.1468885,0.98168132,0.408809,1.33382765,1.65284136,4.32361871
0.01932325,0.2468885,-3.65831868,1.298809,-0.07617235,3.11284136,25.2636187
0.22932325,-1.7031115,-5.31831868,1.508809,-2.42617235,2.56284136,29.0136187
-0.06067675,1.5568885,3.73168132,-0.531191,1.74382765,3.85284136,13.9536187
-0.02067675,0.9568885,3.30168132,-0.461191,1.17382765,2.69284136,5.07361871
-0.07067675,1.3768885,3.06168132,-0.161191,1.72382765,1.89284136,-0.67638129
-0.03067675,0.1968885,4.62168132,-0.241191,0.24382765,0.98284136,-13.9863813
-0.01067675,1.1668885,2.21168132,-0.071191,1.31382765,1.77284136,-0.54638129
0.06932325,1.1068885,0.28168132,-0.021191,0.97382765,3.30284136,19.6436187
-0.06067675,0.9068885,0.99168132,-0.271191,0.97382765,1.40284136,2.64361871
0.00932325,-0.0031115,-3.13831868,0.158809,-0.56617235,3.42284136,25.7636187
-0.00067675,-0.9431115,-4.46831868,0.528809,-1.74617235,4.52284136,35.8236187
0.02932325,-0.5131115,-1.59831868,0.528809,-0.74617235,3.30284136,22.6436187
-0.07067675,-1.5731115,2.61168132,-0.391191,-1.95617235,1.71284136,0.26361871
0.12932325,0.5168885,4.25168132,-0.291191,0.56382765,2.01284136,-3.61638129
0.18932325,-0.9631115,5.18168132,-0.171191,-1.17617235,1.77284136,-8.98638129
0.13932325,-2.0131115,5.52168132,0.418809,-2.47617235,1.16284136,-14.3563813
0.41932325,-5.0831115,6.59168132,0.558809,-6.56617235,2.44284136,-5.42638129
0.36932325,-2.6931115,6.86168132,0.498809,-3.45617235,2.87284136,-2.73638129
0.11932325,-1.6731115,4.54168132,0.458809,-2.20617235,3.05284136,5.64361871
0.04932325,0.2968885,4.08168132,0.338809,0.24382765,2.62284136,3.82361871
0.00932325,1.1968885,4.47168132,0.158809,1.45382765,3.05284136,4.88361871
-0.01067675,1.2668885,4.36168132,0.208809,1.63382765,2.08284136,-2.17638129
0.03932325,-1.0631115,3.18168132,0.568809,-1.36617235,1.34284136,-6.79638129
0.01932325,0.9368885,-0.42831868,1.018809,1.18382765,0.79284136,0.01361871
-0.00067675,0.9168885,1.18168132,0.658809,1.12382765,1.46284136,3.95361871
-0.02067675,-0.9431115,1.19168132,0.718809,-1.22617235,0.98284136,-1.04638129
0.18932325,0.9568885,-3.74831868,1.098809,1.23382765,0.92284136,10.5136187
-0.02067675,-0.3331115,0.32168132,0.648809,-0.39617235,0.00284136,-4.23638129
0.06932325,1.8268885,-2.92831868,0.608809,2.16382765,0.55284136,5.07361871
0.22932325,-0.8431115,-5.31831868,1.158809,-1.32617235,0.55284136,18.1436187
-0.05067675,-0.9131115,0.84168132,0.278809,-1.04617235,1.46284136,5.88361871
-0.02067675,0.8868885,1.64168132,-0.341191,1.18382765,1.40284136,1.82361871
0.02932325,1.2468885,1.30168132,-0.311191,1.44382765,3.17284136,14.2036187
0.02932325,0.3868885,0.76168132,0.158809,0.41382765,3.23284136,17.3836187
