ALLSKY_KT,WS2M,T2M,PS,WS10M,QV2M,RH2M
0.06932325,0.5868885,-3.81831868,1.088809,0.49382765,1.95284136,21.2636187
0.01932325,-0.4231115,-0.00831868,0.198809,-0.54617235,0.24284136,-1.04638129
0.07932325,-1.2131115,-2.50831868,0.768809,-1.69617235,0.18284136,3.95361871
-0.06067675,1.0668885,-2.17831868,0.858809,1.27382765,1.04284136,10.3236187
0.03932325,0.1268885,0.88168132,0.028809,0.29382765,0.67284136,-0.98638129
0.03932325,0.4868885,-1.25831868,0.148809,0.60382765,1.28284136,7.38361871
0.03932325,0.1868885,-1.49831868,0.588809,0.20382765,1.65284136,11.6436187
0.02932325,0.2468885,-4.71831868,1.618809,0.09382765,1.46284136,13.5136187
0.08932325,-2.0831115,-3.53831868,1.788809,-2.84617235,2.14284136,22.7636187
-0.07067675,0.0568885,-0.94831868,1.288809,0.05382765,0.24284136,4.07361871
-0.03067675,0.9568885,0.66168132,0.548809,1.30382765,2.20284136,11.7036187
-0.00067675,1.3968885,-0.81831868,0.268809,1.81382765,1.40284136,9.14361871
0.05932325,-1.6531115,1.24168132,0.058809,-1.95617235,-0.72715864,-11.7363813
0.04932325,-0.4331115,-0.13831868,1.198809,-0.51617235,-1.70715864,-13.0463813
0.02932325,-0.3031115,-0.85831868,1.798809,-0.28617235,0.24284136,2.64361871
0.08932325,1.5468885,0.21168132,0.948809,1.95382765,1.28284136,5.14361871
0.10932325,0.1668885,0.17168132,0.418809,0.27382765,0.18284136,-1.67638129
0.04932325,0.4668885,-3.27831868,0.788809,0.45382765,0.37284136,5.88361871
-0.00067675,-1.4231115,-1.18831868,0.918809,-1.79617235,-0.60715864,-0.42638129
0.10932325,-3.9431115,-1.17831868,1.298809,-5.22617235,1.83284136,12.5736187
-0.03067675,1.6268885,-0.85831868,0.308809,1.97382765,3.36284136,22.7036187
0.06932325,1.2568885,-3.63831868,0.618809,1.35382765,2.87284136,22.2636187
-0.06067675,-2.0831115,-0.40831868,0.558809,-2.59617235,1.34284136,8.76361871
0.05932325,-0.0831115,0.53168132,0.348809,0.00382765,1.28284136,4.95361871
0.06932325,1.2368885,-1.66831868,0.478809,1.42382765,2.26284136,13.8236187
0.07932325,-1.1131115,-1.11831868,0.198809,-1.34617235,0.31284136,2.82361871
0.07932325,-0.4131115,-3.96831868,0.598809,-0.67617235,0.12284136,5.88361871
0.09932325,-1.3731115,0.43168132,0.138809,-1.54617235,1.04284136,5.14361871
0.05932325,-0.8231115,0.48168132,0.418809,-0.89617235,0.49284136,-0.61638129
0.28932325,-2.1531115,-0.23831868,0.708809,-2.68617235,-1.39715864,-10.4263813
0.13932325,-1.0431115,-3.63831868,1.018809,-1.36617235,-0.23715864,4.70361871
0.13932325,1.3468885,-1.50831868,-0.081191,1.63382765,2.01284136,13.4536187
0.07932325,1.5668885,-3.57831868,0.458809,1.86382765,2.62284136,22.7636187
0.05932325,-0.1031115,-4.63831868,1.098809,-0.37617235,0.92284136,15.5736187
0.00932325,-0.1831115,0.03168132,0.978809,-0.14617235,-1.21715864,-11.0463813
0.16932325,-2.1231115,1.44168132,1.438809,-2.64617235,-0.60715864,-10.6163813
-0.09067675,0.0668885,0.95168132,0.988809,-0.08617235,1.71284136,6.64361871
-0.04067675,-0.2131115,2.56168132,0.558809,-0.07617235,0.67284136,-6.29638129
0.07932325,0.7468885,3.38168132,0.118809,0.99382765,0.55284136,-10.8563813
0.03932325,1.2568885,2.57168132,-0.111191,1.57382765,1.10284136,-4.98638129
0.02932325,0.8968885,-0.53831868,0.258809,1.08382765,2.44284136,14.5136187
0.04932325,0.8268885,-3.11831868,0.668809,0.90382765,2.69284136,21.0136187
0.25932325,0.8468885,-2.33831868,1.008809,1.02382765,0.98284136,9.95361871
0.03932325,-0.7331115,-1.89831868,1.048809,-0.97617235,-0.30715864,2.76361871
-0.02067675,-0.5531115,0.89168132,0.288809,-0.54617235,1.46284136,4.64361871
0.05932325,-2.3031115,1.90168132,0.498809,-2.80617235,0.67284136,-4.85638129
0.11932325,-1.3731115,1.56168132,0.498809,-1.66617235,0.43284136,-5.54638129
0.10932325,0.0868885,0.86168132,0.238809,0.25382765,-1.33715864,-15.1763813
0.02932325,-0.3831115,0.01168132,0.108809,-0.41617235,-2.07715864,-16.7963813
-0.01067675,-1.7331115,-0.79831868,0.598809,-2.09617235,-2.80715864,-16.9263813
-0.02067675,-1.0131115,-2.44831868,0.868809,-1.27617235,-1.64715864,-4.67638129
0.28932325,0.1668885,-0.97831868,0.468809,0.25382765,-0.66715864,-1.42638129
-0.00067675,1.9168885,-1.77831868,0.408809,2.42382765,1.22284136,11.0736187
0.02932325,-0.7131115,-3.77831868,0.968809,-0.97617235,1.59284136,17.6436187
0.02932325,0.4168885,-3.96831868,1.248809,0.43382765,0.12284136,10.8836187
0.06932325,1.4968885,-3.17831868,0.438809,1.86382765,-0.36715864,5.82361871
-0.01067675,0.4168885,-2.71831868,0.238809,0.57382765,-0.78715864,2.57361871
0.02932325,-0.1931115,-2.06831868,0.238809,-0.15617235,-1.27715864,-2.79638129
0.06932325,-0.9531115,-0.95831868,0.158809,-1.08617235,-1.76715864,-9.85638129
0.19932325,-1.1731115,-1.45831868,0.308809,-1.38617235,-2.13715864,-10.4863813
0.02932325,-2.1031115,-2.40831868,0.418809,-2.54617235,-1.88715864,-5.67638129
