ALLSKY_KT,WS2M,T2M,PS,WS10M,QV2M,RH2M
0.08932325,0.7168885,-1.56831868,-0.181191,0.95382765,1.46284136,12.5736187
0.06932325,0.3968885,-4.13831868,-0.081191,0.43382765,1.53284136,17.5136187
0.24932325,1.1368885,-5.09831868,0.328809,1.45382765,0.73284136,15.9536187
0.08932325,-0.6231115,-2.11831868,0.068809,-0.57617235,0.12284136,5.70361871
-0.05067675,1.5768885,-4.88831868,0.278809,1.97382765,0.55284136,13.9536187
-0.00067675,-1.8831115,-1.67831868,0.328809,-2.18617235,-2.19715864,-8.79638129
-0.02067675,-1.5431115,-1.60831868,0.258809,-1.74617235,0.00284136,3.45361871
0.11932325,-1.0031115,-1.75831868,0.138809,-1.09617235,-0.11715864,2.38361871
0.09932325,-3.0131115,-1.06831868,0.148809,-3.68617235,0.18284136,2.76361871
0.05932325,-1.9331115,-0.88831868,-0.401191,-2.26617235,-0.17715864,-0.42638129
-0.10067675,-0.3331115,-0.67831868,-0.391191,-0.32617235,-0.54715864,-4.79638129
-0.01067675,-2.0031115,-1.33831868,-0.421191,-2.42617235,-0.78715864,-3.17638129
0.06932325,-0.7831115,-1.17831868,-0.681191,-0.86617235,-0.84715864,-4.17638129
0.04932325,-0.1731115,-0.84831868,-0.711191,-0.11617235,-0.91715864,-6.67638129
-0.06067675,0.3768885,-2.76831868,-0.221191,0.59382765,-1.21715864,-2.17638129
-0.03067675,-0.0131115,-2.86831868,0.068809,0.11382765,-1.09715864,0.57361871
-0.01067675,0.4968885,-3.62831868,0.118809,0.63382765,-0.78715864,2.82361871
-0.05067675,-0.0631115,-3.73831868,-0.131191,-0.02617235,-1.82715864,-2.54638129
-0.03067675,-0.1931115,-4.90831868,-0.381191,-0.22617235,-2.61715864,-3.61638129
-0.07067675,0.5868885,-5.28831868,-0.311191,0.77382765,-2.25715864,0.20361871
-0.06067675,1.6468885,-8.05831868,0.038809,1.96382765,-0.17715864,17.4536187
-0.07067675,0.7768885,-9.56831868,0.248809,0.88382765,0.67284136,24.3236187
0.01932325,0.4668885,-5.14831868,-0.011191,0.66382765,-1.94715864,3.82361871
0.08932325,-0.2431115,-4.71831868,0.018809,-0.25617235,-1.52715864,4.95361871
-0.09067675,0.0868885,-4.68831868,0.038809,0.16382765,-1.27715864,7.64361871
-0.00067675,-0.2931115,-3.63831868,0.018809,-0.18617235,-1.45715864,2.01361871
-0.02067675,-0.6731115,-3.20831868,-0.111191,-0.71617235,-2.31715864,-5.29638129
-0.02067675,-0.0831115,-4.34831868,0.028809,0.01382765,-2.31715864,-1.98638129
-0.07067675,0.9468885,-6.53831868,0.338809,1.20382765,-2.37715864,2.45361871
-0.10067675,0.9168885,-6.57831868,0.198809,1.25382765,-2.00715864,6.95361871
-0.03067675,-0.0431115,-2.73831868,0.198809,-0.00617235,-1.94715864,-5.42638129
0.10932325,-1.5031115,-2.80831868,0.378809,-1.78617235,-2.74715864,-9.73638129
0.14932325,-2.1431115,-3.29831868,0.638809,-2.59617235,-2.98715864,-9.23638129
-0.03067675,-1.9031115,-2.83831868,0.628809,-2.27617235,-3.04715864,-9.23638129
-0.00067675,-1.7031115,-1.79831868,0.278809,-2.00617235,-3.04715864,-14.2963813
0.01932325,-1.0231115,-3.41831868,0.028809,-1.22617235,-2.74715864,-8.61638129
0.02932325,-0.1531115,-4.88831868,0.108809,-0.18617235,-2.80715864,-5.92638129
0.01932325,-0.6131115,-4.52831868,0.208809,-0.74617235,-3.71715864,-8.61638129
-0.06067675,-3.1231115,-4.08831868,0.168809,-3.86617235,-3.41715864,-7.73638129
0.05932325,-3.2331115,-3.27831868,-0.151191,-3.97617235,-1.52715864,0.51361871
0.04932325,-1.9031115,-2.33831868,-0.101191,-2.24617235,-1.21715864,-0.98638129
0.00932325,-0.3031115,-2.47831868,0.058809,-0.20617235,-1.94715864,-5.17638129
-0.06067675,0.7468885,-5.87831868,0.208809,0.97382765,-1.15715864,7.26361871
0.12932325,1.9768885,-8.23831868,0.288809,2.31382765,-0.17715864,19.0736187
0.06932325,0.5468885,-12.2583187,0.388809,0.34382765,2.32284136,35.3836187
0.01932325,0.2568885,-6.74831868,0.368809,0.40382765,-2.61715864,4.01361871
0.03932325,0.4668885,-7.63831868,0.398809,0.62382765,-2.80715864,3.64361871
0.01932325,-0.7531115,-3.95831868,0.128809,-0.79617235,-2.00715864,0.01361871
0.05932325,0.4468885,-8.55831868,0.778809,0.37382765,-1.45715864,9.01361871
0.00932325,-1.4231115,-6.95831868,0.558809,-1.73617235,-1.33715864,13.6436187
0.01932325,-0.2731115,-4.79831868,0.038809,-0.11617235,0.61284136,16.3236187
0.06932325,1.2768885,-7.63831868,0.408809,1.65382765,-0.78715864,16.1436187
0.10932325,-1.8431115,-6.08831868,0.328809,-2.14617235,-4.02715864,-3.23638129
0.10932325,-0.7031115,-4.77831868,0.078809,-0.71617235,-2.49715864,-0.61638129
0.00932325,-0.2531115,-4.90831868,-0.221191,-0.20617235,-2.19715864,1.57361871
0.12932325,-0.2331115,-5.89831868,-0.231191,-0.16617235,-2.98715864,-0.35638129
-0.03067675,0.1668885,-7.60831868,0.198809,0.29382765,-3.41715864,2.70361871
0.03932325,-2.3031115,-6.19831868,0.158809,-2.72617235,-3.35715864,1.01361871
-0.03067675,-0.1231115,-6.10831868,-0.091191,0.02382765,-2.25715864,5.07361871
0.08932325,0.4168885,-6.42831868,-0.151191,0.65382765,-2.55715864,4.07361871
0.02932325,-0.8731115,-0.48831868,-0.081191,-0.87617235,0.55284136,4.26361871
0.28932325,-0.2731115,-0.85831868,0.028809,-0.22617235,-0.42715864,-1.35638129
-0.00067675,-0.5131115,-2.77831868,0.298809,-0.54617235,-2.80715864,-9.61638129
0.06932325,-0.2631115,-3.31831868,0.498809,-0.20617235,-1.82715864,-2.98638129
0.03932325,-1.7331115,-2.54831868,0.928809,-2.03617235,-1.82715864,-4.61638129
0.13932325,-0.1431115,-3.60831868,1.108809,-0.07617235,-1.70715864,-0.35638129
0.02932325,-2.3731115,-2.88831868,0.778809,-2.84617235,-1.94715864,-3.11638129
0.03932325,-1.0131115,-1.83831868,-0.041191,-1.07617235,0.98284136,10.9536187
0.00932325,-0.0031115,-2.32831868,-0.281191,0.17382765,1.46284136,14.7036187
0.04932325,1.5668885,-3.40831868,-0.011191,1.97382765,0.49284136,11.3236187
0.05932325,0.4868885,-4.28831868,0.078809,0.78382765,0.24284136,14.0136187
-0.02067675,1.6968885,-5.58831868,0.358809,2.13382765,-0.36715864,11.0136187
0.03932325,-1.7231115,-3.91831868,0.488809,-1.96617235,-0.17715864,9.76361871
0.06932325,0.0968885,-3.53831868,0.308809,0.29382765,-1.52715864,1.88361871
-0.02067675,-1.4431115,-4.68831868,0.268809,-1.63617235,-1.58715864,3.38361871
0.06932325,-3.1231115,-4.30831868,0.448809,-3.82617235,-2.43715864,-1.23638129
-0.04067675,-3.7631115,-4.52831868,0.418809,-4.64617235,-2.55715864,-0.61638129
-0.02067675,-0.9231115,-4.27831868,0.078809,-0.94617235,-2.49715864,-1.54638129
-0.02067675,1.1568885,-5.67831868,0.118809,1.55382765,-1.94715864,5.01361871
-0.11067675,-0.1631115,-6.52831868,0.238809,-0.05617235,-3.04715864,2.32361871
-0.00067675,-0.3331115,-6.79831868,0.408809,-0.32617235,-3.41715864,0.14361871
0.06932325,-1.8231115,-6.19831868,0.368809,-2.18617235,-3.47715864,-0.29638129
-0.07067675,0.2668885,-5.04831868,0.078809,0.44382765,-2.19715864,2.14361871
-0.00067675,1.5268885,-7.92831868,0.078809,1.92382765,-0.36715864,16.4536187
-0.00067675,1.4168885,-10.4283187,0.128809,1.74382765,0.06284136,25.2036187
0.00932325,0.2668885,-7.20831868,-0.131191,0.45382765,-2.98715864,4.01361871
-0.00067675,0.9868885,-7.40831868,-0.131191,1.29382765,-3.35715864,0.88361871
0.02932325,0.3768885,-7.17831868,-0.091191,0.56382765,-3.10715864,4.88361871
0.00932325,-0.0531115,-7.38831868,0.158809,0.06382765,-1.88715864,7.88361871
0.01932325,-0.8031115,-6.84831868,0.418809,-0.93617235,-3.65715864,0.57361871
0.04932325,1.7868885,-3.72831868,-0.191191,2.29382765,0.73284136,13.0136187
0.06932325,-0.6831115,-2.14831868,-0.291191,-0.68617235,-0.72715864,0.45361871
0.04932325,0.4368885,-2.68831868,-0.241191,0.61382765,0.00284136,5.14361871
0.04932325,1.8468885,-6.54831868,0.298809,2.40382765,0.24284136,14.5136187
0.03932325,-1.0431115,-4.74831868,0.208809,-1.24617235,-1.94715864,2.32361871
0.03932325,0.1768885,-3.28831868,-0.291191,0.31382765,-1.03715864,1.01361871
0.15932325,0.3168885,-5.06831868,-0.191191,0.42382765,-1.27715864,4.64361871
0.11932325,0.2468885,-9.05831868,0.538809,0.20382765,-0.17715864,18.5736187
0.14932325,-0.4731115,-7.00831868,0.908809,-0.62617235,-1.64715864,12.2636187
0.07932325,-0.0831115,-5.06831868,0.278809,0.01382765,-2.68715864,-0.54638129
-0.06067675,0.2268885,-5.45831868,-0.011191,0.34382765,-3.59715864,-4.54638129
0.14932325,0.7368885,-8.38831868,0.138809,0.92382765,-1.82715864,10.3836187
0.07932325,1.6668885,-12.2483187,0.528809,1.93382765,0.73284136,28.3236187
-0.01067675,1.3668885,-10.9283187,0.628809,1.55382765,-1.09715864,20.7636187
0.02932325,-0.8131115,-9.14831868,0.378809,-1.18617235,-0.54715864,21.2636187
-0.00067675,-2.3031115,-3.30831868,-0.291191,-2.71617235,-0.78715864,5.26361871
-0.00067675,-1.8731115,-3.05831868,-0.361191,-2.22617235,0.12284136,8.32361871
-0.05067675,-0.9131115,-2.99831868,-0.271191,-0.95617235,0.06284136,8.95361871
0.03932325,1.2968885,-5.26831868,0.268809,1.61382765,0.31284136,15.0136187
-0.08067675,0.2368885,-8.64831868,0.648809,0.17382765,-0.97715864,17.6436187
0.00932325,-1.3131115,-4.71831868,0.018809,-1.43617235,-1.58715864,5.14361871
0.02932325,-0.6531115,-3.56831868,-0.341191,-0.60617235,-0.23715864,8.51361871
0.14932325,-0.8431115,-3.19831868,-0.391191,-0.84617235,-1.27715864,1.95361871
0.09932325,-1.3631115,-3.12831868,-0.221191,-1.47617235,-1.64715864,-0.23638129
0.17932325,-2.1331115,-2.70831868,0.008809,-2.47617235,-3.41715864,-11.1163813
0.10932325,-1.0131115,-4.57831868,0.308809,-1.11617235,-4.81715864,-11.9863813
0.02932325,-2.0131115,-6.60831868,0.218809,-2.45617235,-3.47715864,0.38361871
-0.06067675,-0.8631115,-5.08831868,-0.161191,-0.86617235,-1.39715864,6.88361871
-0.07067675,-0.3631115,-4.77831868,-0.321191,-0.28617235,-2.00715864,3.20361871
-0.07067675,0.6768885,-5.54831868,-0.191191,0.95382765,-2.13715864,3.95361871
-0.00067675,-2.4831115,-6.59831868,0.448809,-3.17617235,-1.58715864,11.3836187
0.02932325,0.2968885,-4.74831868,-0.081191,0.48382765,0.06284136,13.2036187
0.12932325,-0.1331115,-4.59831868,0.018809,-0.00617235,-1.09715864,6.70361871
0.33932325,0.4968885,-6.12831868,0.548809,0.70382765,-1.09715864,8.38361871
-0.03067675,-2.2231115,-5.28831868,0.648809,-2.67617235,-3.22715864,-2.11638129
-0.00067675,-1.4531115,-2.18831868,0.198809,-1.56617235,0.61284136,9.95361871
0.31932325,-1.5531115,-1.21831868,0.478809,-1.78617235,-0.23715864,1.32361871
0.09932325,-4.6431115,-1.65831868,0.958809,-5.80617235,-2.25715864,-8.11638129
0.01932325,-0.1031115,-3.62831868,0.258809,-0.01617235,-1.58715864,0.51361871
0.06932325,1.1868885,-6.27831868,0.258809,1.47382765,-0.36715864,13.7636187
0.06932325,1.4168885,-6.17831868,0.588809,1.86382765,-1.21715864,9.64361871
0.17932325,-0.6531115,-4.90831868,0.258809,-0.68617235,-2.74715864,-0.67638129
0.05932325,1.2868885,-8.13831868,0.398809,1.63382765,-2.25715864,9.14361871
0.14932325,0.2168885,-10.9483187,0.388809,-0.04617235,-0.36715864,26.0736187
0.18932325,-1.0031115,-6.87831868,0.148809,-1.28617235,-2.19715864,9.26361871
0.06932325,0.2868885,-8.25831868,0.508809,0.35382765,-2.00715864,10.1436187
0.14932325,-2.1831115,-4.42831868,0.508809,-2.60617235,-3.96715864,-6.92638129
0.13932325,-0.8331115,-3.40831868,0.488809,-0.96617235,-4.20715864,-12.5463813
0.11932325,-2.1331115,-4.01831868,0.228809,-2.58617235,-3.59715864,-8.04638129
0.07932325,-1.2031115,-3.42831868,0.138809,-1.41617235,-2.37715864,-4.35638129
-0.00067675,-1.1031115,-3.74831868,0.288809,-1.29617235,-3.59715864,-9.73638129
0.06932325,-1.6631115,-3.70831868,0.118809,-1.98617235,-2.86715864,-6.23638129
-0.08067675,-2.1731115,-3.76831868,0.218809,-2.63617235,-3.29715864,-7.79638129
0.00932325,-0.3531115,-4.86831868,0.728809,-0.33617235,-4.08715864,-7.73638129
-0.04067675,-1.8231115,-5.70831868,0.718809,-2.14617235,-4.02715864,-3.79638129
0.01932325,-0.3331115,-5.22831868,0.518809,-0.25617235,-3.59715864,-4.29638129
0.15932325,-2.0931115,-4.70831868,0.628809,-2.50617235,-4.02715864,-8.17638129
