ALLSKY_KT,WS2M,T2M,PS,WS10M,QV2M,RH2M
0.02932325,0.1168885,-6.07831868,-0.331191,0.27382765,-3.65715864,-1.48638129
0.03932325,0.0068885,-5.98831868,-0.271191,0.19382765,-3.71715864,-1.54638129
-0.06067675,0.9468885,-7.37831868,-0.081191,1.31382765,-2.98715864,5.51361871
-0.11067675,0.3668885,-7.83831868,0.118809,0.60382765,-3.22715864,6.32361871
-0.01067675,0.2268885,-7.31831868,0.078809,0.51382765,-4.69715864,-1.73638129
-0.00067675,-0.0131115,-8.04831868,0.048809,0.14382765,-3.90715864,2.70361871
-0.03067675,-0.1931115,-7.06831868,-0.031191,-0.04617235,-4.51715864,-1.23638129
0.06932325,-0.4431115,-7.45831868,0.198809,-0.38617235,-5.24715864,-3.67638129
0.01932325,-1.0931115,-7.11831868,0.448809,-1.17617235,-5.12715864,-3.73638129
0.03932325,-1.4231115,-6.40831868,0.118809,-1.53617235,-4.02715864,-0.67638129
-0.04067675,-0.5331115,-7.66831868,0.278809,-0.49617235,-6.76715864,-9.35638129
-0.07067675,-0.1931115,-7.36831868,0.448809,-0.07617235,-7.13715864,-11.8563813
-0.02067675,0.5068885,-9.17831868,0.668809,0.70382765,-4.63715864,3.82361871
0.03932325,-1.7631115,-7.39831868,0.398809,-2.00617235,-4.32715864,1.07361871
-0.00067675,-0.7431115,-7.59831868,0.208809,-0.75617235,-3.35715864,5.32361871
0.07932325,1.8068885,-8.76831868,0.178809,2.31382765,-2.49715864,10.6436187
0.15932325,0.3068885,-8.10831868,0.228809,0.53382765,-3.10715864,8.64361871
-0.02067675,-2.3831115,-7.44831868,-0.031191,-2.75617235,-3.96715864,3.32361871
-0.01067675,-1.7831115,-6.03831868,-0.161191,-2.01617235,-3.53715864,0.07361871
0.04932325,-0.1231115,-6.42831868,-0.131191,0.02382765,-2.92715864,3.45361871
-0.00067675,0.3468885,-7.54831868,0.088809,0.57382765,-2.55715864,7.32361871
0.03932325,0.6168885,-8.01831868,0.318809,0.84382765,-3.16715864,5.32361871
0.02932325,0.5868885,-8.68831868,0.488809,0.74382765,-6.09715864,-5.17638129
0.09932325,1.4668885,-9.70831868,0.438809,1.85382765,-3.59715864,7.14361871
0.10932325,-0.4431115,-6.35831868,0.158809,-0.34617235,-4.08715864,-2.17638129
0.10932325,-0.7231115,-5.57831868,0.268809,-0.70617235,-4.38715864,-5.92638129
0.06932325,-0.9031115,-6.13831868,0.388809,-0.98617235,-4.26715864,-3.54638129
0.06932325,-2.2631115,-5.51831868,0.378809,-2.64617235,-6.28715864,-14.3563813
0.04932325,-1.8731115,-5.82831868,0.138809,-2.14617235,-6.03715864,-12.7363813
-0.04067675,-0.9331115,-5.51831868,-0.171191,-0.95617235,-4.32715864,-6.29638129
-0.01067675,0.5368885,-5.45831868,-0.271191,0.81382765,-2.61715864,1.76361871
-0.00067675,0.4868885,-11.3583187,0.648809,0.58382765,-2.31715864,17.6436187
-0.03067675,-1.4531115,-8.86831868,0.218809,-1.68617235,-4.32715864,5.70361871
-0.10067675,-0.6531115,-6.93831868,-0.111191,-0.55617235,-3.10715864,5.38361871
-0.12067675,0.9968885,-8.88831868,0.108809,1.41382765,-3.59715864,7.32361871
-0.07067675,1.5868885,-10.6483187,0.398809,2.05382765,-2.37715864,15.9536187
-0.11067675,-0.1531115,-11.4583187,0.868809,-0.09617235,-3.41715864,12.6436187
-0.06067675,-2.9131115,-6.24831868,0.108809,-3.39617235,-0.78715864,14.3236187
0.02932325,-0.3331115,-4.88831868,-0.101191,-0.13617235,-0.05715864,14.0736187
-0.03067675,0.9268885,-8.13831868,0.218809,1.17382765,-0.30715864,17.7036187
0.06932325,1.0668885,-11.0183187,0.448809,1.32382765,-0.17715864,25.5736187
0.06932325,-1.1531115,-8.06831868,0.208809,-1.21617235,-6.95715864,-8.79638129
0.03932325,-0.8031115,-7.31831868,0.128809,-0.78617235,-5.42715864,-4.73638129
0.01932325,0.1568885,-7.12831868,0.078809,0.35382765,-3.84715864,0.38361871
0.03932325,0.8368885,-8.05831868,0.068809,1.14382765,-2.98715864,6.82361871
-0.00067675,0.7468885,-8.33831868,0.098809,0.99382765,-3.65715864,3.88361871
0.02932325,1.2968885,-8.87831868,0.148809,1.63382765,-1.64715864,14.2636187
0.02932325,2.0168885,-10.2383187,0.238809,2.52382765,-0.48715864,23.7636187
0.03932325,0.6268885,-10.0483187,0.158809,0.81382765,-1.33715864,18.9536187
0.00932325,-0.5231115,-8.35831868,0.058809,-0.43617235,-5.30715864,-0.73638129
0.00932325,0.1068885,-8.90831868,0.068809,0.27382765,-5.30715864,0.51361871
0.00932325,0.8368885,-8.66831868,-0.071191,1.15382765,-3.84715864,5.20361871
0.01932325,1.0268885,-9.33831868,-0.051191,1.38382765,-4.45715864,5.14361871
-0.04067675,0.0568885,-8.98831868,0.028809,0.25382765,-5.73715864,-0.73638129
0.03932325,0.5968885,-8.40831868,0.078809,0.95382765,-5.18715864,0.45361871
0.03932325,1.4168885,-10.4483187,0.238809,1.85382765,-3.10715864,11.7636187
0.06932325,-0.3031115,-10.7983187,0.178809,-0.32617235,-1.27715864,20.1436187
-0.07067675,-2.1431115,-7.04831868,-0.291191,-2.43617235,-0.97715864,15.2036187
-0.02067675,-1.0531115,-5.31831868,-0.221191,-1.04617235,-0.30715864,13.1436187
-0.01067675,1.6268885,-6.77831868,-0.081191,2.09382765,-1.58715864,11.5736187
0.03932325,0.2768885,-6.25831868,-0.231191,0.60382765,-2.92715864,4.32361871
-0.00067675,0.6268885,-6.21831868,-0.381191,0.99382765,-2.55715864,5.07361871
-0.09067675,-0.5431115,-7.92831868,-0.131191,-0.53617235,-4.63715864,-1.04638129
-0.09067675,0.4468885,-8.63831868,-0.251191,0.61382765,-3.90715864,3.26361871
-0.05067675,0.5868885,-10.2083187,0.118809,0.84382765,-2.25715864,15.8836187
-0.08067675,0.7368885,-11.4583187,0.378809,1.06382765,-0.78715864,23.6436187
-0.07067675,-0.1231115,-9.95831868,0.028809,0.02382765,-5.91715864,1.88361871
-0.00067675,0.9768885,-8.34831868,0.008809,1.42382765,-5.85715864,-1.48638129
0.06932325,-0.1731115,-8.30831868,0.258809,-0.04617235,-3.47715864,7.51361871
0.00932325,0.3268885,-8.15831868,0.158809,0.60382765,-4.63715864,2.07361871
-0.00067675,0.3668885,-8.71831868,-0.011191,0.63382765,-3.84715864,6.45361871
0.00932325,0.5168885,-8.81831868,-0.071191,0.81382765,-3.90715864,6.45361871
-0.01067675,1.1268885,-10.0783187,0.078809,1.50382765,-2.86715864,11.6436187
-0.07067675,1.0568885,-10.8583187,0.238809,1.35382765,-1.76715864,20.9536187
0.01932325,1.0568885,-11.0683187,0.328809,1.39382765,-1.70715864,21.3236187
-0.01067675,1.3068885,-12.0383187,0.318809,1.70382765,-1.52715864,23.0136187
-0.07067675,-0.2331115,-10.1783187,0.318809,-0.11617235,-4.75715864,8.82361871
0.00932325,-0.5131115,-8.92831868,0.048809,-0.41617235,-5.42715864,0.95361871
-0.00067675,0.6668885,-8.22831868,-0.031191,1.09382765,-5.36715864,-0.54638129
-0.00067675,-0.0831115,-8.32831868,0.088809,0.07382765,-4.45715864,1.20361871
0.06932325,0.9168885,-9.36831868,0.188809,1.25382765,-3.96715864,5.64361871
0.07932325,0.7468885,-9.39831868,-0.001191,1.06382765,-4.57715864,4.70361871
0.07932325,-0.2331115,-8.31831868,-0.031191,-0.07617235,-5.48715864,-1.04638129
0.07932325,0.8068885,-8.52831868,0.178809,1.20382765,-4.75715864,2.76361871
0.08932325,1.3568885,-10.8183187,0.538809,1.71382765,-2.49715864,16.0136187
0.09932325,0.9168885,-11.3283187,0.488809,1.10382765,-1.27715864,23.2636187
0.01932325,-1.9031115,-8.02831868,0.098809,-2.13617235,-6.09715864,-4.17638129
0.06932325,0.3568885,-8.43831868,0.308809,0.64382765,-5.18715864,0.38361871
0.06932325,0.8068885,-10.2483187,0.728809,1.12382765,-5.67715864,1.45361871
0.07932325,0.1068885,-9.84831868,0.708809,0.35382765,-8.11715864,-7.42638129
0.08932325,-0.8831115,-9.00831868,0.388809,-0.88617235,-7.50715864,-7.42638129
-0.05067675,-2.0631115,-6.96831868,-0.001191,-2.32617235,-6.64715864,-10.4863813
0.03932325,-0.2731115,-7.44831868,0.118809,-0.08617235,-6.70715864,-8.85638129
0.09932325,-2.4631115,-6.26831868,0.098809,-2.82617235,-3.53715864,1.20361871
-0.11067675,-0.3331115,-6.12831868,0.048809,-0.14617235,-2.61715864,4.64361871
-0.00067675,0.1168885,-6.02831868,0.018809,0.36382765,-3.35715864,1.01361871
-0.01067675,0.4068885,-6.72831868,0.168809,0.76382765,-4.38715864,-1.79638129
-0.00067675,0.3768885,-7.67831868,0.318809,0.65382765,-4.99715864,-1.85638129
0.00932325,1.1268885,-10.0183187,0.368809,1.49382765,-2.43715864,14.5736187
-0.03067675,-0.0531115,-11.4083187,0.388809,-0.00617235,-1.76715864,18.4536187
-0.00067675,-0.0931115,-10.9883187,0.158809,-0.11617235,-1.76715864,18.7636187
-0.00067675,0.3168885,-10.8183187,0.128809,0.45382765,-3.65715864,7.26361871
-0.00067675,1.1768885,-12.0383187,0.218809,1.45382765,-2.19715864,18.3836187
0.01932325,0.9668885,-11.6183187,0.158809,1.20382765,-1.70715864,22.3236187
-0.01067675,1.8668885,-12.7783187,0.238809,2.27382765,-1.45715864,22.2636187
-0.00067675,1.7468885,-13.0383187,0.328809,2.19382765,-0.72715864,26.7036187
0.00932325,-0.1931115,-9.86831868,0.078809,-0.07617235,-6.28715864,-0.61638129
0.00932325,1.3768885,-10.9383187,0.028809,1.68382765,-4.32715864,7.76361871
-0.00067675,1.2968885,-13.4083187,0.338809,1.44382765,-0.30715864,30.2636187
-0.01067675,-0.3331115,-9.24831868,0.168809,-0.27617235,-5.67715864,2.26361871
-0.07067675,0.2568885,-8.20831868,0.058809,0.50382765,-6.46715864,-5.92638129
-0.07067675,0.4868885,-8.27831868,0.068809,0.88382765,-5.85715864,-1.85638129
-0.09067675,0.0368885,-8.49831868,0.088809,0.32382765,-6.15715864,-2.35638129
-0.03067675,0.0668885,-8.00831868,0.128809,0.35382765,-5.67715864,-1.98638129
-0.03067675,0.5868885,-8.67831868,0.298809,0.95382765,-4.32715864,4.70361871
-0.01067675,-0.4131115,-9.92831868,0.378809,-0.27617235,-4.45715864,8.07361871
0.03932325,0.0068885,-11.5783187,0.488809,0.16382765,-4.20715864,11.6436187
0.05932325,0.3568885,-11.1383187,0.458809,0.58382765,-4.93715864,7.38361871
-0.00067675,-1.4131115,-8.86831868,0.238809,-1.47617235,-7.13715864,-5.35638129
-0.01067675,0.1368885,-8.63831868,0.218809,0.41382765,-7.25715864,-6.67638129
-0.00067675,0.9768885,-9.85831868,0.218809,1.28382765,-7.38715864,-4.98638129
0.06932325,-0.0531115,-9.66831868,0.168809,0.06382765,-8.17715864,-7.54638129
0.00932325,-0.7131115,-8.44831868,0.128809,-0.63617235,-7.56715864,-9.17638129
-0.00067675,-0.7831115,-7.66831868,0.058809,-0.72617235,-6.15715864,-5.54638129
-0.03067675,-0.0031115,-9.85831868,-0.151191,0.13382765,-6.22715864,-0.85638129
-0.02067675,0.7268885,-9.19831868,-0.121191,1.03382765,-5.24715864,0.76361871
-0.03067675,1.4068885,-11.2983187,0.308809,1.71382765,-1.45715864,18.7636187
-0.02067675,-0.4131115,-12.7383187,0.648809,-0.53617235,-0.72715864,25.4536187
-0.03067675,-1.3731115,-8.31831868,0.268809,-1.49617235,-5.18715864,0.45361871
-0.02067675,-0.0831115,-8.52831868,0.158809,0.11382765,-5.42715864,-0.11638129
-0.01067675,0.2668885,-8.56831868,0.158809,0.56382765,-5.24715864,0.95361871
0.05932325,0.3968885,-7.93831868,0.328809,0.73382765,-4.51715864,1.14361871
-0.00067675,-0.0131115,-7.96831868,0.328809,0.22382765,-5.18715864,-0.29638129
0.04932325,0.4068885,-7.70831868,0.178809,0.71382765,-4.32715864,1.70361871
0.05932325,0.1668885,-7.62831868,0.148809,0.38382765,-4.63715864,-0.29638129
-0.05067675,-0.1631115,-8.55831868,0.148809,-0.04617235,-5.61715864,-2.42638129
-0.04067675,0.2368885,-10.0583187,0.198809,0.40382765,-5.54715864,2.14361871
-0.05067675,0.0868885,-10.6783187,0.338809,0.18382765,-2.92715864,13.8236187
0.02932325,-0.3031115,-11.5583187,0.428809,-0.29617235,-2.37715864,18.0136187
-0.11067675,0.3068885,-10.0883187,0.478809,0.53382765,-5.79715864,2.20361871
0.10932325,-1.1131115,-9.81831868,0.298809,-1.19617235,-6.83715864,-1.85638129
0.10932325,0.0568885,-9.04831868,0.208809,0.27382765,-6.34715864,-2.23638129
-0.00067675,-0.4131115,-9.03831868,0.218809,-0.31617235,-6.40715864,-1.67638129
0.07932325,0.6168885,-9.13831868,0.358809,0.97382765,-5.36715864,1.70361871
0.07932325,0.1968885,-10.4783187,0.498809,0.42382765,-4.14715864,9.51361871
0.10932325,-0.8331115,-10.6083187,0.518809,-0.90617235,-5.30715864,4.45361871
-0.06067675,-2.6231115,-6.62831868,0.088809,-3.00617235,-2.31715864,7.95361871
-0.03067675,-0.3531115,-6.37831868,0.178809,-0.16617235,-2.98715864,4.32361871
-0.06067675,0.1568885,-7.43831868,0.468809,0.42382765,-4.08715864,1.32361871
-0.06067675,-0.6931115,-7.42831868,0.238809,-0.64617235,-5.91715864,-4.98638129
-0.06067675,-0.0831115,-6.97831868,-0.021191,0.13382765,-4.51715864,-1.11638129
-0.03067675,0.4468885,-6.97831868,0.008809,0.74382765,-4.51715864,-1.17638129
-0.04067675,0.2168885,-7.76831868,0.238809,0.48382765,-3.96715864,2.38361871
-0.06067675,0.5968885,-8.24831868,0.228809,0.86382765,-4.02715864,2.26361871
-0.04067675,1.7668885,-11.1883187,0.118809,2.22382765,-1.58715864,17.2636187
-0.01067675,0.5468885,-11.1183187,0.638809,0.77382765,-3.65715864,15.7036187
-0.03067675,-0.7431115,-9.38831868,0.598809,-0.66617235,-5.12715864,4.45361871
-0.05067675,-0.5531115,-8.25831868,0.488809,-0.36617235,-5.61715864,-0.61638129
0.03932325,-0.7931115,-7.31831868,0.328809,-0.67617235,-4.87715864,-1.04638129
0.04932325,-1.3731115,-7.42831868,0.468809,-1.47617235,-5.42715864,-3.79638129
0.03932325,0.5768885,-11.1783187,0.728809,0.73382765,-3.22715864,11.5736187
0.02932325,0.1968885,-14.5683187,0.688809,0.10382765,-0.36715864,31.2636187
-0.00067675,0.0868885,-10.3883187,0.208809,0.27382765,-5.42715864,6.76361871
-0.00067675,0.8068885,-10.2183187,0.168809,1.18382765,-4.38715864,9.01361871
-0.01067675,0.4868885,-9.69831868,0.148809,0.80382765,-4.81715864,7.14361871
0.03932325,1.6168885,-12.2283187,0.338809,2.06382765,-2.80715864,18.3836187
0.02932325,0.0068885,-10.8183187,0.438809,0.13382765,-3.84715864,13.7036187
0.04932325,0.9068885,-9.34831868,0.358809,1.24382765,-4.81715864,5.38361871
0.03932325,0.2568885,-9.93831868,0.398809,0.52382765,-4.63715864,7.01361871
0.03932325,0.1868885,-9.83831868,0.228809,0.46382765,-5.73715864,2.70361871
0.02932325,-0.5331115,-9.44831868,0.198809,-0.39617235,-5.97715864,0.57361871
-0.00067675,-0.4031115,-8.77831868,0.068809,-0.22617235,-5.67715864,-0.54638129
-0.01067675,0.3468885,-9.45831868,-0.051191,0.60382765,-4.63715864,5.26361871
-0.03067675,0.9768885,-9.43831868,0.048809,1.36382765,-4.63715864,5.26361871
-0.00067675,1.0568885,-10.2383187,0.138809,1.47382765,-4.51715864,7.95361871
-0.00067675,1.0168885,-10.3883187,0.058809,1.48382765,-3.71715864,12.5736187
0.00932325,1.2968885,-9.77831868,-0.001191,1.76382765,-4.75715864,6.82361871
-0.03067675,1.2268885,-8.38831868,-0.021191,1.63382765,-4.81715864,3.20361871
-0.07067675,1.6168885,-7.54831868,0.108809,2.10382765,-4.08715864,3.76361871
0.03932325,2.2568885,-8.63831868,0.318809,2.85382765,-2.86715864,11.5736187
0.06932325,0.3968885,-10.2583187,0.498809,0.60382765,-3.53715864,13.2636187
-0.02067675,1.1868885,-9.98831868,0.388809,1.59382765,-5.54715864,4.32361871
0.02932325,1.9868885,-11.3083187,0.608809,2.55382765,-2.49715864,19.2636187
0.01932325,-0.1931115,-9.21831868,0.298809,-0.04617235,-4.26715864,7.64361871
-0.01067675,0.5468885,-7.41831868,0.298809,0.91382765,-2.80715864,8.82361871
-0.05067675,-0.5131115,-7.61831868,0.368809,-0.36617235,-5.36715864,-1.54638129
-0.00067675,-1.1731115,-7.88831868,-0.011191,-1.22617235,-5.73715864,-3.54638129
0.09932325,-0.1831115,-7.63831868,0.088809,0.01382765,-5.67715864,-3.54638129
0.00932325,0.0668885,-7.62831868,0.028809,0.34382765,-5.48715864,-2.85638129
0.03932325,-0.8631115,-7.05831868,-0.041191,-0.82617235,-6.15715864,-7.67638129
-0.00067675,-1.7731115,-6.58831868,-0.071191,-1.97617235,-6.22715864,-9.29638129
-0.00067675,-2.3331115,-6.33831868,0.168809,-2.71617235,-6.76715864,-12.4863813
0.03932325,-1.1531115,-6.18831868,0.298809,-1.19617235,-6.22715864,-10.9263813
-0.02067675,0.5268885,-7.60831868,0.058809,0.82382765,-5.97715864,-5.11638129
-0.03067675,0.8268885,-8.24831868,-0.111191,1.25382765,-5.67715864,-1.17638129
-0.00067675,-0.5531115,-7.07831868,-0.261191,-0.47617235,-6.22715864,-7.04638129
-0.09067675,-0.2931115,-6.93831868,-0.211191,-0.17617235,-4.69715864,-1.04638129
-0.04067675,-0.5031115,-6.99831868,-0.221191,-0.40617235,-4.20715864,0.88361871
-0.03067675,-0.0131115,-7.02831868,-0.181191,0.18382765,-4.02715864,1.32361871
0.00932325,0.4668885,-7.90831868,-0.091191,0.80382765,-4.93715864,0.14361871
-0.00067675,0.9468885,-9.01831868,0.018809,1.33382765,-4.93715864,3.64361871
-0.00067675,1.2668885,-10.5383187,0.088809,1.70382765,-3.10715864,14.6436187
-0.06067675,-0.4231115,-8.71831868,-0.161191,-0.28617235,-6.34715864,-2.29638129
-0.07067675,0.3968885,-8.60831868,-0.241191,0.68382765,-4.08715864,5.57361871
0.00932325,0.7268885,-8.22831868,-0.121191,1.09382765,-5.97715864,-2.79638129
-0.08067675,-0.1231115,-8.15831868,-0.141191,0.09382765,-4.81715864,0.95361871
-0.00067675,1.1568885,-8.13831868,-0.021191,1.62382765,-4.75715864,0.14361871
-0.01067675,1.1968885,-10.4783187,0.248809,1.57382765,-2.25715864,17.5736187
-0.03067675,-1.0831115,-8.75831868,-0.011191,-1.10617235,-4.14715864,6.76361871
-0.00067675,-0.7831115,-6.52831868,-0.381191,-0.71617235,-2.92715864,4.95361871
0.01932325,1.6368885,-6.89831868,-0.211191,2.14382765,-2.25715864,7.95361871
-0.00067675,0.8068885,-7.82831868,0.138809,1.20382765,-3.47715864,6.26361871
0.00932325,-0.5131115,-7.73831868,0.178809,-0.38617235,-4.63715864,0.95361871
-0.00067675,-0.3331115,-7.62831868,-0.011191,-0.19617235,-5.36715864,-1.79638129
0.00932325,0.2068885,-7.59831868,-0.101191,0.47382765,-5.12715864,-1.48638129
-0.00067675,0.0968885,-8.31831868,0.048809,0.35382765,-5.54715864,-1.61638129
-0.02067675,0.7968885,-9.78831868,0.298809,1.13382765,-4.87715864,4.45361871
-0.08067675,-1.9031115,-8.31831868,0.168809,-2.11617235,-2.92715864,9.82361871
-0.08067675,0.8768885,-8.42831868,0.038809,1.25382765,-1.39715864,15.2036187
-0.07067675,1.0368885,-8.72831868,0.058809,1.49382765,-1.45715864,16.8836187
-0.00067675,0.4468885,-7.31831868,-0.041191,0.77382765,-2.92715864,6.88361871
-0.07067675,1.0168885,-7.99831868,0.008809,1.49382765,-3.10715864,8.38361871
-0.07067675,0.5168885,-7.67831868,0.058809,0.85382765,-4.02715864,4.14361871
-0.08067675,0.8068885,-8.67831868,0.198809,1.17382765,-2.86715864,10.0736187
-0.08067675,0.3568885,-8.88831868,0.468809,0.59382765,-2.61715864,11.5736187
